Source,Destination,Distance_km,Estimated_Time_Hours
BLR,BOM,834.39,1.04
BLR,CCU,1546.84,1.93
BLR,DEL,1708.92,2.14
BLR,HYD,455.15,0.57
BLR,MAA,267.88,0.33
BOM,BLR,834.39,1.04
BOM,CCU,1665.69,2.08
BOM,DEL,1137.05,1.42
BOM,DXB,1925.79,2.41
BOM,HYD,623.05,0.78
BOM,MAA,1033.48,1.29
CCU,BLR,1546.84,1.93
CCU,BOM,1665.69,2.08
CCU,DEL,1312.42,1.64
CCU,HYD,1207.72,1.51
CCU,MAA,1385.24,1.73
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
DEL,DXB,2183.07,2.73
DEL,HYD,1266.58,1.58
DEL,MAA,1759.38,2.2
DXB,BOM,1925.79,2.41
DXB,DEL,2183.07,2.73
DXB,HYD,2546.65,3.18
DXB,MAA,2932.98,3.67
HYD,BLR,455.15,0.57
HYD,BOM,623.05,0.78
HYD,CCU,1207.72,1.51
HYD,DEL,1266.58,1.58
HYD,DXB,2546.65,3.18
HYD,MAA,506.87,0.63
MAA,BLR,267.88,0.33
MAA,BOM,1033.48,1.29
MAA,CCU,1385.24,1.73
MAA,DEL,1759.38,2.2
MAA,DXB,2932.98,3.67
MAA,HYD,506.87,0.63
HKG,PVG,1255.54,1.57
PVG,HKG,1255.54,1.57
AUH,BLR,2723.1,3.4
AUH,BOM,1970.62,2.46
AUH,DEL,2276.96,2.85
AUH,HYD,2593.29,3.24
AUH,MAA,2965.87,3.71
BLR,AUH,2723.1,3.4
BLR,BOM,834.39,1.04
BLR,CCU,1546.84,1.93
BLR,DEL,1708.92,2.14
BLR,HYD,455.15,0.57
BLR,MAA,267.88,0.33
BOM,AUH,1970.62,2.46
BOM,BLR,834.39,1.04
BOM,CCU,1665.69,2.08
BOM,DEL,1137.05,1.42
BOM,DXB,1925.79,2.41
BOM,HKG,4272.48,5.34
BOM,HYD,623.05,0.78
BOM,LHR,7212.28,9.02
BOM,MAA,1033.48,1.29
CCU,BLR,1546.84,1.93
CCU,BOM,1665.69,2.08
CCU,DEL,1312.42,1.64
DEL,AUH,2276.96,2.85
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
DEL,DXB,2183.07,2.73
DEL,HKG,3747.03,4.68
DEL,HYD,1266.58,1.58
DEL,LHR,6731.39,8.41
DEL,MAA,1759.38,2.2
DXB,BOM,1925.79,2.41
DXB,DEL,2183.07,2.73
HKG,BOM,4272.48,5.34
HKG,DEL,3747.03,4.68
HYD,AUH,2593.29,3.24
HYD,BLR,455.15,0.57
HYD,BOM,623.05,0.78
HYD,DEL,1266.58,1.58
HYD,MAA,506.87,0.63
LHR,BOM,7212.28,9.02
LHR,DEL,6731.39,8.41
MAA,AUH,2965.87,3.71
MAA,BLR,267.88,0.33
MAA,BOM,1033.48,1.29
MAA,DEL,1759.38,2.2
MAA,HYD,506.87,0.63
AMS,LHR,370.3,0.46
AUH,LHR,5516.14,6.9
AUH,ORD,11688.42,14.61
BLR,LHR,8046.06,10.06
BOM,LHR,7212.28,9.02
DEL,LHR,6731.39,8.41
DXB,LHR,5497.45,6.87
HKG,LAX,11664.33,14.58
HKG,ORD,12522.9,15.65
HYD,LHR,7753.62,9.69
LAX,HKG,11664.33,14.58
LAX,LHR,8760.2,10.95
LAX,MIA,3762.88,4.7
LAX,ORD,2801.93,3.5
LAX,PVG,10415.29,13.02
LHR,AMS,370.3,0.46
LHR,AUH,5516.14,6.9
LHR,BLR,8046.06,10.06
LHR,BOM,7212.28,9.02
LHR,DEL,6731.39,8.41
LHR,DXB,5497.45,6.87
LHR,HYD,7753.62,9.69
LHR,LAX,8760.2,10.95
LHR,MAA,8234.19,10.29
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
LHR,RTM,341.25,0.43
MAA,LHR,8234.19,10.29
MEM,MIA,1384.22,1.73
MEM,ORD,791.45,0.99
MIA,LAX,3762.88,4.7
MIA,LHR,7109.0,8.89
MIA,MEM,1384.22,1.73
MIA,ORD,1929.51,2.41
MIA,SDF,1468.46,1.84
ORD,AUH,11688.42,14.61
ORD,HKG,12522.9,15.65
ORD,LAX,2801.93,3.5
ORD,LHR,6344.73,7.93
ORD,MEM,791.45,0.99
ORD,MIA,1929.51,2.41
ORD,PVG,11334.32,14.17
ORD,SDF,461.1,0.58
PVG,LAX,10415.29,13.02
PVG,ORD,11334.32,14.17
RTM,LHR,341.25,0.43
SDF,MIA,1468.46,1.84
SDF,ORD,461.1,0.58
AMS,AUH,5191.35,6.49
AUH,AMS,5191.35,6.49
AUH,BOM,1970.62,2.46
AUH,DEL,2276.96,2.85
BLR,BOM,834.39,1.04
BLR,CCU,1546.84,1.93
BLR,DEL,1708.92,2.14
BLR,HYD,455.15,0.57
BLR,MAA,267.88,0.33
BOM,AUH,1970.62,2.46
BOM,BLR,834.39,1.04
BOM,CCU,1665.69,2.08
BOM,DEL,1137.05,1.42
BOM,DXB,1925.79,2.41
BOM,HYD,623.05,0.78
BOM,LHR,7212.28,9.02
BOM,MAA,1033.48,1.29
CCU,BLR,1546.84,1.93
CCU,BOM,1665.69,2.08
CCU,DEL,1312.42,1.64
CCU,HYD,1207.72,1.51
CCU,MAA,1385.24,1.73
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
DEL,DXB,2183.07,2.73
DEL,HKG,3747.03,4.68
DEL,HYD,1266.58,1.58
DEL,LHR,6731.39,8.41
DEL,MAA,1759.38,2.2
DEL,ORD,12022.86,15.03
DEL,PVG,4292.09,5.37
DXB,BOM,1925.79,2.41
DXB,DEL,2183.07,2.73
HKG,DEL,3747.03,4.68
HYD,BLR,455.15,0.57
HYD,BOM,623.05,0.78
HYD,CCU,1207.72,1.51
HYD,DEL,1266.58,1.58
HYD,MAA,506.87,0.63
HYD,SHJ,2534.35,3.17
LHR,BOM,7212.28,9.02
LHR,DEL,6731.39,8.41
MAA,BLR,267.88,0.33
MAA,BOM,1033.48,1.29
MAA,CCU,1385.24,1.73
MAA,DEL,1759.38,2.2
MAA,HYD,506.87,0.63
MAA,SHJ,2922.3,3.65
ORD,DEL,12022.86,15.03
PVG,DEL,4292.09,5.37
SHJ,HYD,2534.35,3.17
SHJ,MAA,2922.3,3.65
LAX,MIA,3762.88,4.7
LAX,ORD,2801.93,3.5
MIA,LAX,3762.88,4.7
ORD,LAX,2801.93,3.5
LAX,LHR,8760.2,10.95
LHR,LAX,8760.2,10.95
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
MIA,LHR,7109.0,8.89
ORD,LHR,6344.73,7.93
AMS,DXB,5168.46,6.46
AUH,BLR,2723.1,3.4
AUH,BOM,1970.62,2.46
AUH,DEL,2276.96,2.85
BLR,AUH,2723.1,3.4
BOM,AUH,1970.62,2.46
DEL,AUH,2276.96,2.85
DXB,AMS,5168.46,6.46
DXB,LAX,13400.15,16.75
LAX,DXB,13400.15,16.75
AMS,LGW,364.29,0.46
AMS,LHR,370.3,0.46
AUH,LHR,5516.14,6.9
BLR,LHR,8046.06,10.06
BOM,LHR,7212.28,9.02
DEL,LHR,6731.39,8.41
DXB,LHR,5497.45,6.87
HKG,LHR,9630.68,12.04
HYD,LHR,7753.62,9.69
LAX,LHR,8760.2,10.95
LGW,AMS,364.29,0.46
LHR,AMS,370.3,0.46
LHR,AUH,5516.14,6.9
LHR,BLR,8046.06,10.06
LHR,BOM,7212.28,9.02
LHR,DEL,6731.39,8.41
LHR,DXB,5497.45,6.87
LHR,HKG,9630.68,12.04
LHR,HYD,7753.62,9.69
LHR,LAX,8760.2,10.95
LHR,MAA,8234.19,10.29
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
LHR,PVG,9241.09,11.55
LHR,RTM,341.25,0.43
MAA,LHR,8234.19,10.29
MIA,LHR,7109.0,8.89
ORD,LHR,6344.73,7.93
PVG,LHR,9241.09,11.55
RTM,LHR,341.25,0.43
AMS,EMA,415.92,0.52
EMA,AMS,415.92,0.52
LHR,DXB,5497.45,6.87
AMS,AUH,5191.35,6.49
AUH,AMS,5191.35,6.49
CAN,PVG,1203.11,1.5
LAX,PVG,10415.29,13.02
LHR,PVG,9241.09,11.55
ORD,PVG,11334.32,14.17
PVG,CAN,1203.11,1.5
PVG,LAX,10415.29,13.02
PVG,LHR,9241.09,11.55
PVG,ORD,11334.32,14.17
AMS,LHR,370.3,0.46
LHR,AMS,370.3,0.46
AMS,HKG,9274.35,11.59
BLR,HKG,3955.29,4.94
BOM,HKG,4272.48,5.34
CAN,HKG,136.29,0.17
CCU,HKG,2614.16,3.27
DEL,HKG,3747.03,4.68
DXB,HKG,5919.92,7.4
HKG,AMS,9274.35,11.59
HKG,AUH,6007.15,7.51
HKG,BLR,3955.29,4.94
HKG,BOM,4272.48,5.34
HKG,CAN,136.29,0.17
HKG,CCU,2614.16,3.27
HKG,DEL,3747.03,4.68
HKG,DXB,5919.92,7.4
HKG,HYD,3747.65,4.68
HKG,LAX,11664.33,14.58
HKG,LHR,9630.68,12.04
HKG,MAA,3713.16,4.64
HKG,ORD,12522.9,15.65
HKG,PVG,1255.54,1.57
HYD,HKG,3747.65,4.68
LAX,HKG,11664.33,14.58
LHR,HKG,9630.68,12.04
MAA,HKG,3713.16,4.64
ORD,HKG,12522.9,15.65
PVG,HKG,1255.54,1.57
AMS,CAN,9139.36,11.42
AMS,PVG,8910.1,11.14
CAN,AMS,9139.36,11.42
CAN,DEL,3649.95,4.56
CAN,DXB,5827.11,7.28
CAN,HKG,136.29,0.17
CAN,LAX,11618.39,14.52
CAN,LHR,9495.4,11.87
CAN,PVG,1203.11,1.5
DEL,CAN,3649.95,4.56
DXB,CAN,5827.11,7.28
HKG,CAN,136.29,0.17
LAX,CAN,11618.39,14.52
LHR,CAN,9495.4,11.87
PVG,AMS,8910.1,11.14
PVG,CAN,1203.11,1.5
AMS,AUH,5191.35,6.49
AMS,BOM,6859.0,8.57
AMS,LAX,8956.12,11.2
AMS,ORD,6612.51,8.27
AUH,AMS,5191.35,6.49
BOM,AMS,6859.0,8.57
CAN,LAX,11618.39,14.52
LAX,AMS,8956.12,11.2
LAX,CAN,11618.39,14.52
LAX,LHR,8760.2,10.95
LAX,MEM,2599.78,3.25
LAX,MIA,3762.88,4.7
LAX,PVG,10415.29,13.02
LHR,LAX,8760.2,10.95
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
MEM,LAX,2599.78,3.25
MEM,ORD,791.45,0.99
MIA,LAX,3762.88,4.7
MIA,LHR,7109.0,8.89
ORD,AMS,6612.51,8.27
ORD,LHR,6344.73,7.93
ORD,MEM,791.45,0.99
PVG,LAX,10415.29,13.02
AMS,DXB,5168.46,6.46
BLR,DXB,2695.06,3.37
BOM,DXB,1925.79,2.41
CAN,DXB,5827.11,7.28
CCU,DXB,3365.67,4.21
DEL,DXB,2183.07,2.73
DXB,AMS,5168.46,6.46
DXB,BLR,2695.06,3.37
DXB,BOM,1925.79,2.41
DXB,CAN,5827.11,7.28
DXB,CCU,3365.67,4.21
DXB,DEL,2183.07,2.73
DXB,HKG,5919.92,7.4
DXB,HYD,2546.65,3.18
DXB,LAX,13400.15,16.75
DXB,LGW,5472.73,6.84
DXB,LHR,5497.45,6.87
DXB,MAA,2932.98,3.67
DXB,PVG,6448.3,8.06
HKG,DXB,5919.92,7.4
HYD,DXB,2546.65,3.18
LAX,DXB,13400.15,16.75
LGW,DXB,5472.73,6.84
LHR,DXB,5497.45,6.87
MAA,DXB,2932.98,3.67
PVG,DXB,6448.3,8.06
AMS,AUH,5191.35,6.49
AUH,AMS,5191.35,6.49
AUH,BLR,2723.1,3.4
AUH,BOM,1970.62,2.46
AUH,DEL,2276.96,2.85
AUH,HKG,6007.15,7.51
AUH,HYD,2593.29,3.24
AUH,LHR,5516.14,6.9
AUH,MAA,2965.87,3.71
AUH,ORD,11688.42,14.61
AUH,PVG,6549.93,8.19
BLR,AUH,2723.1,3.4
BOM,AUH,1970.62,2.46
BOM,HKG,4272.48,5.34
DEL,AUH,2276.96,2.85
DEL,HKG,3747.03,4.68
HKG,AUH,6007.15,7.51
HKG,BOM,4272.48,5.34
HKG,DEL,3747.03,4.68
HYD,AUH,2593.29,3.24
LHR,AUH,5516.14,6.9
MAA,AUH,2965.87,3.71
ORD,AUH,11688.42,14.61
PVG,AUH,6549.93,8.19
CAN,PVG,1203.11,1.5
HKG,PVG,1255.54,1.57
PVG,CAN,1203.11,1.5
PVG,HKG,1255.54,1.57
DXB,HYD,2546.65,3.18
HYD,DXB,2546.65,3.18
BLR,BOM,834.39,1.04
BLR,DEL,1708.92,2.14
BOM,BLR,834.39,1.04
BOM,DEL,1137.05,1.42
BOM,MAA,1033.48,1.29
CCU,DEL,1312.42,1.64
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
MAA,BOM,1033.48,1.29
BLR,SHJ,2685.01,3.36
BOM,SHJ,1913.8,2.39
DEL,SHJ,2166.24,2.71
HYD,SHJ,2534.35,3.17
MAA,SHJ,2922.3,3.65
SHJ,BLR,2685.01,3.36
SHJ,BOM,1913.8,2.39
SHJ,DEL,2166.24,2.71
SHJ,HYD,2534.35,3.17
SHJ,MAA,2922.3,3.65
AMS,AUH,5191.35,6.49
AUH,AMS,5191.35,6.49
AUH,HKG,6007.15,7.51
HKG,AUH,6007.15,7.51
CAN,PVG,1203.11,1.5
HKG,PVG,1255.54,1.57
PVG,CAN,1203.11,1.5
PVG,HKG,1255.54,1.57
AUH,PVG,6549.93,8.19
LAX,PVG,10415.29,13.02
ORD,PVG,11334.32,14.17
PVG,AUH,6549.93,8.19
PVG,LAX,10415.29,13.02
PVG,ORD,11334.32,14.17
EIN,RTM,85.66,0.11
RTM,EIN,85.66,0.11
HKG,PVG,1255.54,1.57
PVG,HKG,1255.54,1.57
AUH,LHR,5516.14,6.9
LAX,LHR,8760.2,10.95
LHR,AUH,5516.14,6.9
LHR,LAX,8760.2,10.95
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
MIA,LHR,7109.0,8.89
ORD,LHR,6344.73,7.93
BOM,MAA,1033.48,1.29
MAA,BOM,1033.48,1.29
BLR,HKG,3955.29,4.94
CAN,HKG,136.29,0.17
CCU,HKG,2614.16,3.27
HKG,BLR,3955.29,4.94
HKG,CAN,136.29,0.17
HKG,CCU,2614.16,3.27
HKG,PVG,1255.54,1.57
PVG,HKG,1255.54,1.57
AMS,AUH,5191.35,6.49
AMS,BOM,6859.0,8.57
AMS,CAN,9139.36,11.42
AMS,DEL,6363.75,7.95
AMS,DXB,5168.46,6.46
AMS,HKG,9274.35,11.59
AMS,LAX,8956.12,11.2
AMS,LHR,370.3,0.46
AMS,ORD,6612.51,8.27
AMS,PVG,8910.1,11.14
AUH,AMS,5191.35,6.49
BOM,AMS,6859.0,8.57
CAN,AMS,9139.36,11.42
DEL,AMS,6363.75,7.95
DXB,AMS,5168.46,6.46
HKG,AMS,9274.35,11.59
LAX,AMS,8956.12,11.2
LHR,AMS,370.3,0.46
ORD,AMS,6612.51,8.27
PVG,AMS,8910.1,11.14
AMS,ORD,6612.51,8.27
LAX,LHR,8760.2,10.95
LHR,LAX,8760.2,10.95
LHR,ORD,6344.73,7.93
ORD,AMS,6612.51,8.27
ORD,LHR,6344.73,7.93
MIA,LHR,7109.0,8.89
BLR,MAA,267.88,0.33
AMS,LHR,370.3,0.46
AMS,PVG,8910.1,11.14
CAN,PVG,1203.11,1.5
DEL,PVG,4292.09,5.37
HKG,PVG,1255.54,1.57
LAX,PVG,10415.29,13.02
LHR,AMS,370.3,0.46
LHR,PVG,9241.09,11.55
PVG,AMS,8910.1,11.14
PVG,CAN,1203.11,1.5
PVG,DEL,4292.09,5.37
PVG,HKG,1255.54,1.57
PVG,LAX,10415.29,13.02
PVG,LHR,9241.09,11.55
LAX,ORD,2801.93,3.5
ORD,LAX,2801.93,3.5
LAX,LHR,8760.2,10.95
LHR,LAX,8760.2,10.95
MIA,AMS,7442.6,9.3
DEL,HKG,3747.03,4.68
HKG,DEL,3747.03,4.68
DXB,LGW,5472.73,6.84
DXB,LHR,5497.45,6.87
LGW,DXB,5472.73,6.84
LHR,DXB,5497.45,6.87
BLR,BOM,834.39,1.04
BLR,CCU,1546.84,1.93
BLR,DEL,1708.92,2.14
BLR,HYD,455.15,0.57
BLR,MAA,267.88,0.33
BOM,BLR,834.39,1.04
BOM,CCU,1665.69,2.08
BOM,DEL,1137.05,1.42
BOM,HYD,623.05,0.78
BOM,MAA,1033.48,1.29
CCU,BLR,1546.84,1.93
CCU,BOM,1665.69,2.08
CCU,DEL,1312.42,1.64
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
DEL,HYD,1266.58,1.58
DEL,MAA,1759.38,2.2
HYD,BLR,455.15,0.57
HYD,BOM,623.05,0.78
HYD,DEL,1266.58,1.58
HYD,MAA,506.87,0.63
MAA,BLR,267.88,0.33
MAA,BOM,1033.48,1.29
MAA,DEL,1759.38,2.2
MAA,HYD,506.87,0.63
SHJ,AUH,132.48,0.17
BLR,BOM,834.39,1.04
BLR,CCU,1546.84,1.93
BLR,DEL,1708.92,2.14
BLR,HYD,455.15,0.57
BLR,MAA,267.88,0.33
BOM,BLR,834.39,1.04
BOM,CCU,1665.69,2.08
BOM,DEL,1137.05,1.42
BOM,HYD,623.05,0.78
BOM,MAA,1033.48,1.29
CCU,BLR,1546.84,1.93
CCU,BOM,1665.69,2.08
CCU,DEL,1312.42,1.64
CCU,HYD,1207.72,1.51
CCU,MAA,1385.24,1.73
DEL,BLR,1708.92,2.14
DEL,BOM,1137.05,1.42
DEL,CCU,1312.42,1.64
DEL,DXB,2183.07,2.73
DEL,HYD,1266.58,1.58
DEL,MAA,1759.38,2.2
DXB,DEL,2183.07,2.73
HYD,BLR,455.15,0.57
HYD,BOM,623.05,0.78
HYD,CCU,1207.72,1.51
HYD,DEL,1266.58,1.58
HYD,MAA,506.87,0.63
MAA,BLR,267.88,0.33
MAA,BOM,1033.48,1.29
MAA,CCU,1385.24,1.73
MAA,DEL,1759.38,2.2
MAA,HYD,506.87,0.63
LAX,ORD,2801.93,3.5
AMS,AUH,5191.35,6.49
AUH,AMS,5191.35,6.49
AUH,LHR,5516.14,6.9
AMS,LGW,364.29,0.46
LGW,AMS,364.29,0.46
AMS,ORD,6612.51,8.27
HKG,ORD,12522.9,15.65
LAX,LHR,8760.2,10.95
LAX,ORD,2801.93,3.5
LAX,PVG,10415.29,13.02
LHR,LAX,8760.2,10.95
LHR,ORD,6344.73,7.93
MEM,ORD,791.45,0.99
MIA,ORD,1929.51,2.41
ORD,AMS,6612.51,8.27
ORD,HKG,12522.9,15.65
ORD,LAX,2801.93,3.5
ORD,LHR,6344.73,7.93
ORD,MEM,791.45,0.99
ORD,MIA,1929.51,2.41
ORD,PVG,11334.32,14.17
ORD,SDF,461.1,0.58
PVG,LAX,10415.29,13.02
PVG,ORD,11334.32,14.17
SDF,ORD,461.1,0.58
LAX,LHR,8760.2,10.95
LHR,LAX,8760.2,10.95
LAX,LHR,8760.2,10.95
LAX,MIA,3762.88,4.7
LAX,ORD,2801.93,3.5
LAX,PVG,10415.29,13.02
LHR,LAX,8760.2,10.95
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
MEM,MIA,1384.22,1.73
MEM,ORD,791.45,0.99
MIA,LAX,3762.88,4.7
MIA,LHR,7109.0,8.89
MIA,MEM,1384.22,1.73
MIA,ORD,1929.51,2.41
MIA,SDF,1468.46,1.84
ORD,LAX,2801.93,3.5
ORD,LHR,6344.73,7.93
ORD,MEM,791.45,0.99
ORD,MIA,1929.51,2.41
ORD,PVG,11334.32,14.17
ORD,SDF,461.1,0.58
PVG,ORD,11334.32,14.17
SDF,MIA,1468.46,1.84
SDF,ORD,461.1,0.58
BOM,LHR,7212.28,9.02
DEL,LHR,6731.39,8.41
DXB,LHR,5497.45,6.87
HKG,LHR,9630.68,12.04
LAX,LHR,8760.2,10.95
LHR,BOM,7212.28,9.02
LHR,DEL,6731.39,8.41
LHR,DXB,5497.45,6.87
LHR,HKG,9630.68,12.04
LHR,LAX,8760.2,10.95
LHR,MIA,7109.0,8.89
LHR,ORD,6344.73,7.93
LHR,PVG,9241.09,11.55
MIA,LHR,7109.0,8.89
ORD,LHR,6344.73,7.93
PVG,LHR,9241.09,11.55
LAX,ORD,2801.93,3.5
ORD,LAX,2801.93,3.5
CAN,PVG,1203.11,1.5
PVG,CAN,1203.11,1.5
